일자,카테고리,순위,브랜드,상품명,가격
2026-01-07,전체_주간,1,メディキューブ,ブースタープロ,28889
2026-01-07,전체_주간,2,アヌア,"PDRNヒアルロン酸カプセル100セラム, 30ml",3200
2026-01-07,전체_주간,3,NAMING,オーバーデューグロッシーリップティント,1760
2026-01-07,전체_주간,4,エイプリルスキン,"ヒーロークッション, 本品+レフィル",3600
2026-01-07,전체_주간,5,AOU,ブレンディングリップペンシル,1119
2026-01-07,전체_주간,6,ブラン,"マジックティーツリーオイル, 20ml",2790
2026-01-07,전체_주간,7,アヌア,"ビタミン10PORESTRIXセラム, 20ml",2800
2026-01-07,전체_주간,8,アヌア,"レチノール0.3ナイアシンリニューイングセラム, 30ml",3200
2026-01-07,전체_주간,9,メディキューブ,"コウジ酸ビタナイアシントナー, 250ml",2300
2026-01-07,전체_주간,10,オフラ,"ハイライター, ミニ",2541
2026-01-07,전체_주간,11,バイオヒールボ,"プロバイオダーム3Dリフティングクリーム, 50ml, 本品+レフィル",5467
2026-01-07,전체_주간,12,ブラン,トラブルケア2種セット,6880
2026-01-07,전체_주간,13,トゥークールフォースクール,プロタージュペンシル,1499
2026-01-07,전체_주간,14,ミルクタッチ,ジェリーフィットティンティッドグロウティント,1707
2026-01-07,전체_주간,15,トゥークールフォースクール,アートクラススマッジングアンダーライナー,1499
2026-01-07,전체_주간,16,COSRX,"RXザアルファアルブチン2ニキビ跡ケアセラム, 50ml",2332
2026-01-07,전체_주간,17,AZTK,ジェリーカラーチークリキッド,1165
2026-01-07,전체_주간,18,ティルティル,マスクフィットルビーメッシュクッション,2821
2026-01-07,전체_주간,19,Brighte,エレキリフトリフ ト,22000
2026-01-07,전체_주간,20,セルフュージョンC,"コラーゲンPDRNアンプル, 35ml",2310
2026-01-07,전체_주간,21,スキンアンドラブ,"グルタチオントナー, 200ml",2590
2026-01-07,전체_주간,22,2ªN,デュアルチーク,1870
2026-01-07,전체_주간,23,ロムアンド,ハンオールブロウカラ,1210
2026-01-07,전체_주간,24,アヌア,"PDRNヒアルロン酸ハイドレイティングミスト, 100ml",2650
2026-01-07,전체_주간,25,AOU,"トーンアップぽよんクリーム, 100ml",1393
2026-01-07,전체_주간,26,ホリカホリカ,マイフェイブピースシャドウ,600
2026-01-07,전체_주간,27,VTコスメティックス,"PDRNカプセルクリーム100, 50ml",2167
